age_upon_intake_(years),time_in_shelter_days
6,56.26736111
6,7.097916667
9,0.013888889
5,0.742361111
8,0.416666667
5,2.020138889
9,6.870138889
4,16.2
10,4.277777778
5,3.163888889
8,4.898611111
7,2.944444444
6,2.5
6,12.09444444
8,0.859722222
4,13.11875
4,2.06875
6,0.874305556
6,0.146527778
6,2.230555556
6,16.24652778
5,0.28125
10,0.102777778
7,2.833333333
5,12.63611111
8,0.2
5,0.206944444
8,24.02847222
5,1.302777778
5,11.97152778
4,4.054861111
5,26.34722222
5,11.97222222
4,4.057638889
8,8.253472222
8,8.759027778
5,272.9354167
8,1.263888889
5,6.861805556
15,8.345833333
15,0.134722222
14,0.009027778
4,10.94652778
16,0.995138889
7,4.990972222
14,1.004861111
7,0.902083333
7,0.839583333
9,0.150694444
11,0.095138889
6,2.157638889
7,0.046527778
9,3.963194444
7,12.37986111
9,0.986805556
7,89.02638889
7,10.90972222
7,10.03958333
8,0.047916667
7,44.44930556
7,33.94166667
5,0.135416667
5,0.109027778
4,0.060416667
5,0.135416667
5,0.109027778
4,0.059722222
11,140.9326389
9,5.100694444
9,6.75625
6,3.965277778
5,11.17083333
6,0.113194444
5,7.257638889
10,0.197916667
8,9.958333333
7,9.423611111
7,45.01388889
7,6.01875
6,26.98958333
5,2.027083333
5,0.807638889
13,31.02291667
13,0.045138889
4,18.0875
11,0.079166667
4,4.898611111
7,1.886805556
6,0.049305556
6,248.6055556
3,11.00486111
4,5.845138889
7,5.170833333
6,255.0625
7,119.0472222
5,21.18819444
5,1.352777778
7,9.170138889
4,1.226388889
4,0.094444444
10,10.97361111
16,0.106944444
4,0.160416667
10,10.97361111
4,5.768055556
2,8.695833333
7,1.578472222
7,12.12847222
12,3.073611111
4,18.24930556
6,10.91527778
7,0.178472222
4,9.239583333
7,45.67222222
4,35.05833333
3,1.100694444
4,1.908333333
6,7.096527778
5,0.020138889
8,2.145833333
5,188.7680556
5,9.14375
7,64.40138889
6,5.159722222
5,0.084027778
7,0.985416667
4,55.15902778
7,46.85694444
6,0.176388889
11,7.350694444
5,0.045833333
7,0.210416667
7,1.732638889
6,5.504166667
6,34.05972222
7,25.09444444
7,19.1
13,25.10277778
7,13.81458333
4,4.818055556
7,0.266666667
6,11.02430556
11,2.696527778
6,3.666666667
6,198.7326389
4,31.19513889
6,9.984027778
6,5.097916667
6,4.986111111
10,28.23125
11,6.211805556
6,4.188194444
7,28.14027778
12,4.138194444
9,0.119444444
5,2.961111111
6,7.023611111
6,1.323611111
6,311.4729167
8,0.482638889
9,0.2
4,0.070138889
6,1.050694444
7,1.10625
8,0.847916667
6,2.371527778
8,2.215972222
8,3.011805556
5,0.786805556
3,17.975
4,10.24861111
6,8.820138889
12,0.727083333
4,37.9875
4,11.35902778
4,4.848611111
4,4.848611111
4,10.13888889
7,0.988194444
3,2.772222222
3,77.22222222
6,4.386805556
7,0.048611111
6,191.0527778
7,0.009722222
4,0.315972222
5,1.822916667
5,11.04930556
5,11.14375
5,11.21736111
5,0.975694444
5,2.858333333
7,4.047222222
7,3.001388889
7,1.035416667
7,4.955555556
9,0.180555556
5,0.851388889
7,39.98402778
10,3.077777778
9,0.004861111
9,4.161111111
4,2.0125
5,10.85208333
5,49.11666667
5,0.729166667
6,5.947916667
5,22.96666667
4,5.003472222
6,0.316666667
11,1.886805556
9,0.924305556
8,3.072222222
6,0.848611111
8,0.017361111
6,5.058333333
7,14.09375
6,1.879861111
4,0.056944444
4,0.185416667
6,8.763194444
4,12.78958333
11,12.99513889
11,2.929861111
5,63.02777778
5,0.900694444
7,3.849305556
8,0.102777778
6,0.193055556
3,13.97361111
14,1.052777778
8,4.283333333
11,0.236805556
7,0.000694444
11,4.025694444
3,2.2125
3,0.041666667
8,0.099305556
4,71.12013889
6,23.82986111
7,10.1125
7,0.303472222
8,15.02777778
7,0.064583333
8,29.91666667
9,36.1375
5,24.97916667
4,133.8229167
8,118.0590278
6,10.28819444
6,31.23333333
6,0.75
4,0.050694444
5,0.335416667
10,10.10625
3,10.8375
3,8.9625
9,5.945833333
3,6.752083333
3,1.943055556
3,29.07569444
6,10.39444444
3,10.83541667
4,0.9625
5,108.1569444
12,11.83263889
7,2.063194444
5,1.002083333
4,1.982638889
4,182.7930556
8,9.7625
7,0.55625
7,0.854166667
5,6.933333333
5,6.019444444
5,1.102777778
5,26.14513889
5,0.923611111
6,78.90277778
4,0.945833333
10,3.948611111
8,10.14305556
7,7.977777778
7,10.01666667
4,22.36875
4,7.875694444
2,8.977777778
5,7.129166667
7,107.8694444
6,37.07708333
4,33.97708333
6,1.913888889
7,12.9
5,2.159722222
9,0.961111111
7,1.275
7,0.238194444
6,0.116666667
6,0.764583333
5,6.856944444
4,5.433333333
6,3.579166667
6,46.99444444
4,0.13125
9,8.788888889
7,23.07916667
7,182.0986111
7,37.02361111
6,6.111805556
6,8.860416667
5,5.847916667
6,6.111805556
7,170.9020833
7,0.736805556
8,9.086805556
5,0.777777778
6,118.9895833
5,0.080555556
12,4.250694444
12,1.1625
12,4.008333333
5,0.863888889
8,533.8270833
7,3.154861111
15,3.038194444
3,9.077777778
9,10.3875
4,5.433333333
7,10.16388889
7,5.194444444
5,5.811805556
6,1.038888889
6,9.679861111
5,5.075
3,26.04236111
8,13.01736111
4,1.242361111
13,0.238194444
4,6.045138889
7,0.181944444
5,0.028472222
9,9.042361111
4,6.782638889
7,9.904166667
8,12.07986111
5,8.827083333
7,0.114583333
5,3.94375
8,4.065972222
6,6.920138889
4,28.09513889
3,2.14375
5,3.885416667
6,89.01319444
5,4.04375
12,0.299305556
5,43.04097222
7,5.827083333
5,0.513194444
5,6.111111111
4,0.119444444
5,8.95625
9,0.154166667
7,135.0756944
5,8.957638889
3,66.92152778
8,2.05
7,1.99375
11,4.190277778
5,10.96736111
5,4.142361111
8,0.554861111
7,0.459027778
7,173.9006944
5,3.822222222
4,1.052777778
6,14.14236111
5,10.18402778
6,2.093055556
5,2.9
11,1.894444444
5,0.219444444
14,7.05
7,0.021527778
6,0.2
6,0.094444444
6,0.066666667
5,0.046527778
7,4.938888889
12,0.357638889
6,3.998611111
5,1.982638889
5,0.182638889
5,2.03125
5,1.198611111
9,0.823611111
6,1.123611111
6,0.173611111
6,3.314583333
5,3.047916667
5,1.05625
5,2.002777778
5,5.849305556
7,0.966666667
2,1.140972222
6,8.029166667
9,54.11388889
5,1.101388889
5,0.226388889
5,12.15902778
3,2.230555556
6,0.881944444
7,155.9388889
8,71.10694444
3,5.917361111
4,2.177777778
7,4.011111111
3,4.15
5,41.71666667
5,4.234722222
2,0.968055556
9,8.161111111
9,5.214583333
7,0.74375
6,3.217361111
3,2.106944444
2,15.94236111
6,5.531944444
4,121.2104167
4,12.21319444
6,9.9125
6,14.02430556
7,2.857638889
9,0.045833333
8,0.99375
8,1.026388889
7,0.668055556
5,2.047222222
4,0.292361111
5,0.102777778
7,2.075694444
7,2.099305556
7,0.818055556
7,25.18263889
5,57.90763889
4,195.0020833
4,4.002083333
5,5.021527778
5,1.253472222
2,18.87986111
2,90.21458333
4,9.086805556
7,17.32777778
6,92.20694444
5,13.41944444
3,10.10833333
6,176.1368056
12,0.875694444
11,0.982638889
3,23.94791667
4,0.978472222
3,1.672916667
4,4.902083333
3,214.1326389
7,1.957638889
4,8.236805556
12,3.958333333
8,7.890972222
2,5.901388889
4,4.202777778
4,9.209722222
4,0.725694444
4,38.20625
8,304.2923611
4,139
8,8.06875
4,14.13472222
6,3.875694444
6,167.1111111
4,71.90208333
4,22.78888889
5,5.088888889
4,0.710416667
10,0.022916667
9,10.34444444
4,1.075
9,5.897222222
5,9.131944444
7,119.1166667
5,59.20763889
5,0.175694444
3,16.04305556
7,0.067361111
5,2.932638889
8,7.929861111
5,1.033333333
5,1.017361111
7,5.05625
6,7.439583333
6,2.863194444
6,6.099305556
10,0.483333333
4,2.109027778
2,10.08263889
6,0.056944444
7,1.113888889
4,0.093055556
6,19.01666667
4,6.876388889
4,33.10625
3,13.08958333
8,3.106944444
8,51.92777778
5,2.179166667
4,5.013194444
5,0.922222222
